Tanggal;Suhu_Maksimum
1950-04;29,07
1950-07;28,34
1950-10;30,16
1951-01;28,68
1951-04;29,08
1951-07;28,67
1951-10;32,32
1952-01;29,82
1952-04;29,57
1952-07;28,88
1952-10;30,88
1953-01;29,51
1953-04;29,24
1953-07;28,6
1953-10;31,66
1954-01;29,52
1954-04;29,37
1954-07;28,14
1954-10;30,39
1955-01;29,03
1955-04;28,84
1955-07;28,04
1955-10;30,71
1956-01;29,07
1956-04;29,34
1956-07;27,73
1956-10;29,86
1957-01;28,87
1957-04;29,17
1957-07;28,86
1957-10;32,27
1958-01;30,86
1958-04;30,11
1958-07;29,09
1958-10;31,2
1959-01;31
1959-04;29,63
1959-07;28,36
1959-10;31,29
1960-01;29,47
1960-04;28,91
1960-07;28,05
1960-10;31,05
1961-01;29,85
1961-04;29,15
1961-07;28,19
1961-10;31,37
1962-01;30,72
1962-04;29,28
1962-07;28,4
1962-10;31,2
1963-01;29,62
1963-04;28,92
1963-07;28,85
1963-10;31,28
1964-01;31,13
1964-04;29,5
1964-07;29,66
1964-10;30,1
1965-01;29,35
1965-04;29,61
1965-07;29,5
1965-10;31,2
1966-01;30,9
1966-04;29,44
1966-07;28,53
1966-10;30,19
1967-01;28,72
1967-04;29,26
1967-07;28,5
1967-10;31,17
1968-01;29,03
1968-04;28,82
1968-07;28,25
1968-10;31,4
1969-01;30,34
1969-04;29,78
1969-07;29,22
1969-10;31,54
1970-01;31,77
1970-04;29,89
1970-07;28,95
1970-10;31,06
1971-01;29,64
1971-04;29,5
1971-07;28,84
1971-10;30,26
1972-01;29,08
1972-04;28,84
1972-07;28,64
1972-10;31,42
1973-01;30,33
1973-04;30,05
1973-07;29,24
1973-10;30,82
1974-01;29,56
1974-04;29,31
1974-07;28,94
1974-10;30,13
1975-01;29,92
1975-04;29,43
1975-07;28,83
1975-10;29,7
1976-01;29,36
1976-04;29,63
1976-07;28,96
1976-10;30,36
1977-01;29,66
1977-04;29,61
1977-07;28,99
1977-10;31,48
1978-01;29,61
1978-04;30,1
1978-07;28,66
1978-10;30,08
1979-01;29,71
1979-04;30,03
1979-07;29,11
1979-10;30,82
1980-01;29,87
1980-04;30,08
1980-07;29,59
1980-10;31,09
1981-01;29,78
1981-04;29,9
1981-07;29,18
1981-10;31,56
1982-01;29,62
1982-04;30,03
1982-07;29,22
1982-10;31,34
1983-01;30,77
1983-04;30,14
1983-07;29,44
1983-10;31,05
1984-01;30,18
1984-04;29,83
1984-07;29,42
1984-10;31,02
1985-01;29,61
1985-04;30,51
1985-07;29,46
1985-10;31,34
1986-01;29,94
1986-04;29,98
1986-07;29,36
1986-10;30,76
1987-01;30,91
1987-04;30,39
1987-07;29,71
1987-10;31,26
1988-01;30,12
1988-04;30,71
1988-07;29,88
1988-10;31,25
1989-01;29,83
1989-04;29,73
1989-07;29,35
1989-10;30,76
1990-01;30,05
1990-04;30,35
1990-07;29,68
1990-10;31,49
1991-01;30,25
1991-04;29,89
1991-07;29,14
1991-10;30,77
1992-01;29,92
1992-04;30,01
1992-07;29,72
1992-10;30,7
1993-01;30,06
1993-04;30,03
1993-07;29,79
1993-10;30,92
1994-01;30,56
1994-04;29,69
1994-07;28,81
1994-10;31,48
1995-01;30,4
1995-04;29,88
1995-07;29,62
1995-10;30,54
1996-01;29,72
1996-04;30,21
1996-07;29,62
1996-10;31,05
1997-01;29,85
1997-04;30,22
1997-07;29,74
1997-10;31,17
1998-01;30,83
1998-04;30,82
1998-07;29,98
1998-10;30,92
1999-01;29,76
1999-04;29,81
1999-07;29,34
1999-10;30,46
2000-01;29,82
2000-04;29,84
2000-07;29,34
2000-10;30,48
2001-01;30,36
2001-04;30,3
2001-07;29,34
2001-10;31,03
2002-01;29,91
2002-04;30,39
2002-07;29,91
2002-10;31,79
2003-01;31,37
2003-04;30,48
2003-07;29,99
2003-10;31,43
2004-01;30,58
2004-04;30,6
2004-07;29,36
2004-10;31,61
2005-01;30,67
2005-04;30,33
2005-07;30,33
2005-10;30,98
2006-01;30,07
2006-04;30,37
2006-07;28,87
2006-10;31,82
2007-01;31,37
2007-04;30,07
2007-07;29,4
2007-10;31,27
2008-01;30,22
2008-04;29,82
2008-07;29,34
2008-10;30,98
2009-01;30,19
2009-04;30,46
2009-07;29,81
2009-10;31,51
2010-01;31,07
2010-04;30,76
2010-07;29,88
2010-10;30,65
2011-01;30,07
2011-04;29,74
2011-07;29,02
2011-10;30,62
2012-01;30,63
2012-04;30,07
2012-07;29,12
2012-10;31,26
2013-01;30,4
2013-04;30,56
2013-07;29,42
2013-10;31,26
2014-01;29,99
2014-04;30,55
2014-07;30,04
2014-10;31,5
2015-01;30,36
2015-04;30,49
2015-07;29,56
2015-10;31,75
2016-01;31,27
2016-04;30,9
2016-07;30,37
2016-10;31,15
2017-01;30,11
2017-04;30,33
2017-07;29,49
2017-10;30,87
2018-01;30,28
2018-04;31,01
2018-07;29,88
2018-10;31,27
2019-01;30,65
2019-04;30,7
2019-07;29,49
2019-10;31,83
2020-01;32,35
2020-04;30,81
2020-07;30,16
2020-10;31,65
2021-01;30,13
2021-04;30,3
2021-07;30,09
2021-10;31,03
2022-01;30,92
2022-04;30,99
2022-07;30,07
2022-10;30,49
2023-01;30,68
2023-04;30,26
2023-07;29,82
2023-10;32,14
