"tanggal","rr"
"2007-01",12.0258064516129
"2007-02",15.65
"2007-03",8.91612903225806
"2007-04",15.7566666666667
"2007-05",6.30967741935484
"2007-06",9.11666666666667
"2007-07",4.31935483870968
"2007-08",7.99677419354839
"2007-09",6.86333333333333
"2007-10",7.59677419354839
"2007-11",14.8
"2007-12",15.3548387096774
"2008-01",8.40645161290323
"2008-02",13.2586206896552
"2008-03",21.6645161290323
"2008-04",17.5666666666667
"2008-05",8.61612903225807
"2008-06",5.71666666666667
"2008-07",5.56129032258065
"2008-08",6.31290322580645
"2008-09",11.45
"2008-10",10.041935483871
"2008-11",16.9666666666667
"2008-12",7.24838709677419
"2009-01",11.6387096774194
"2009-02",10.9035714285714
"2009-03",8.42258064516129
"2009-04",8.66333333333333
"2009-05",18.4064516129032
"2009-06",11.27
"2009-07",4.22903225806452
"2009-08",1.06774193548387
"2009-09",5.22666666666667
"2009-10",13.4129032258065
"2009-11",13.5666666666667
"2009-12",8.32903225806452
"2010-01",8.12903225806452
"2010-02",16.4535714285714
"2010-03",13.3709677419355
"2010-04",1.43
"2010-05",10.6741935483871
"2010-06",10.1133333333333
"2010-07",8.72258064516129
"2010-08",15.4064516129032
"2010-09",20.0333333333333
"2010-10",14.0612903225806
"2010-11",9.47333333333333
"2010-12",5.71935483870968
"2011-01",6.53870967741936
"2011-02",2.73214285714286
"2011-03",4.51612903225806
"2011-04",9.28
"2011-05",11.6677419354839
"2011-06",9.15333333333333
"2011-07",6.51612903225806
"2011-08",4.58064516129032
"2011-09",3.53
"2011-10",8.25806451612903
"2011-11",15.2566666666667
"2011-12",11.1161290322581
"2012-01",8.76451612903226
"2012-02",18.9275862068966
"2012-03",4.38709677419355
"2012-04",12.9833333333333
"2012-05",6.28387096774194
"2012-06",3.13
"2012-07",3.83548387096774
"2012-08",2.55806451612903
"2012-09",9.01666666666667
"2012-10",17.4032258064516
"2012-11",18.2966666666667
"2012-12",11.5741935483871
